Zeitslot,Außentemperatur [°C],PV-Produktion [kW],Gewicht Mobilität [0-1],Gewicht Temperatur [0-1],Nicht steuerbar [kW],Min. Sollwert Mobilität [%],Max. Sollwert Mobilität [%],Min. Sollwert Temperatur [°C],Max. Sollwert Temperatur [°C],Anwesenheit E-Auto [0/1],Anwesenheit Temperatur [0/1],Status E-Auto [0/1],Status WP [0/1],Status Batterie [-1/0/1],Energiekosten [€],Istwert Temperatur [°C],Istwert Mobilität [%],Netzpreis [€],Energiepreis [€],Netzverbrauch [kW]
0,23,,,,,20,60,20,24,,,0,,1,,22,40,,,
1,22,,,,,20,60,20,24,0,1,0,,0,10,22,40,,,
2,21,,,,,20,60,21,25,0,1,1,,0,11,23,40,,,
3,20,,,,,20,60,22,26,0,1,0,1,0,11,24,40,,,
4,21,,,,,20,60,23,27,0,1,1,,0,11,25,40,,,
5,22,,,,,20,60,24,28,0,1,0,,1,11,26,40,,,
6,23,,,,,20,60,25,29,0,1,0,,0,12,27,40,,,
7,24,,,,,20,60,26,30,0,1,0,1,-1,13,28,40,,,
8,25,,,,,20,60,27,31,0,1,0,,1,14,29,40,,,
9,26,,,,,20,60,27,31,0,1,1,,1,15,29,40,,,
10,27,,,,,20,60,27,31,0,1,0,,0,16,29,40,,,
11,24,,,,,20,60,27,31,0,1,0,1,0,17,29,40,,,
12,21,,,,,20,60,27,31,0,1,0,,1,18,29,40,,,
13,18,,,,,20,60,27,31,0,1,0,,0,19,29,40,,,
14,15,,,,,20,60,27,31,0,1,1,,-1,19,29,40,,,
15,12,,,,,20,60,27,31,0,1,0,1,0,19,28,40,,,
16,9,,,,,20,60,27,31,0,1,0,,0,19,28,40,,,
17,6,,,,,20,60,27,29,0,1,1,,0,18,26,40,,,
18,3,,,,,20,60,27,29,0,1,1,,0,17,26,40,,,
19,0,,,,,20,60,26,28,0,1,1,,0,16,25,40,,,
20,-3,,,,,20,60,26,28,0,1,1,,0,15,25,40,,,
21,-2,,,,,20,60,26,28,0,1,1,,0,14,25,40,,,
22,-1,,,,,20,60,26,28,0,1,1,,-1,13,25,40,,,
23,0,,,,,20,60,26,28,0,1,1,,-1,12,25,40,,,
24,1,,,,,20,60,26,28,0,1,1,,-1,11,25,40,,,
25,2,,,,,20,60,25,27,0,1,1,,-1,10,24,40,,,
26,3,,,,,20,60,25,27,0,1,1,1,-1,9,24,40,,,
27,4,,,,,20,60,25,27,0,1,1,1,-1,8,25,40,,,
28,5,,,,,20,60,25,27,0,1,1,1,-1,7,25,40,,,
29,6,,,,,20,60,25,27,0,1,1,1,-1,7,25,40,,,
30,7,,,,,20,60,25,27,0,1,1,1,-1,7,25,40,,,
31,8,,,,,20,60,25,27,0,1,1,1,-1,7,25,40,,,
32,9,,,,,20,60,25,27,0,1,0,1,-1,7,25,40,,,
33,10,,,,,20,60,25,27,0,1,0,1,-1,7,25,40,,,
34,11,,,,,20,60,25,27,0,1,0,1,-1,8,25,40,,,
35,12,,,,,20,60,25,27,0,1,0,1,-1,8,25,40,,,
36,13,,,,,20,60,25,28,0,1,0,1,-1,8,26,40,,,
37,14,,,,,20,60,25,28,0,1,0,,-1,8,26,40,,,
38,15,,,,,20,60,24,27,0,1,0,,-1,8,25,40,,,
39,16,,,,,20,60,24,27,0,1,0,,0,8,25,40,,,
40,17,,,,,20,60,24,27,0,1,0,,0,8,25,40,,,
41,18,,,,,20,60,24,27,0,1,0,,0,8,25,40,,,
42,19,,,,,20,60,24,27,0,1,0,,0,8,25,40,,,
43,20,,,,,20,60,24,27,0,1,0,,0,12,25,40,,,
44,21,,,,,20,60,24,27,0,1,1,,0,12,25,40,,,
45,22,,,,,20,60,24,27,0,1,1,,0,12,25,40,,,
46,23,,,,,20,60,24,27,0,1,1,1,1,12,25,40,,,
47,24,,,,,20,60,24,27,0,1,1,1,1,12,25,40,,,
48,25,,,,,20,60,24,27,0,1,1,1,1,12,25,40,,,
49,25,,,,,20,60,24,27,0,1,1,1,1,17,25,40,,,
50,25,,,,,20,60,24,27,0,1,1,1,1,17,25,40,,,
51,25,,,,,20,60,24,27,0,1,0,1,1,18,25,40,,,
52,25,,,,,20,60,24,27,1,1,0,1,1,19,25,40,,,
53,25,,,,,20,60,24,27,1,1,0,,1,19,25,40,,,
54,25,,,,,20,60,23,26,1,1,0,,-1,19,24,40,,,
55,25,,,,,20,60,23,26,1,1,0,,-1,18,24,40,,,
56,24,,,,,20,60,23,26,1,1,0,1,-1,18,24,40,,,
57,24,,,,,20,60,23,26,1,1,0,1,-1,17,24,40,,,
58,24,,,,,20,60,23,26,1,1,1,1,-1,17,25,40,,,
59,24,,,,,20,60,23,26,1,1,1,1,-1,17,25,40,,,
60,24,,,,,20,60,23,26,1,1,1,1,-1,17,25,40,,,
61,24,,,,,20,60,23,26,1,1,1,,-1,17,25,40,,,
62,24,,,,,20,60,23,26,1,1,1,,-1,17,25,40,,,
63,24,,,,,20,60,23,26,1,1,1,,-1,17,25,40,,,
64,23,,,,,20,60,23,26,0,1,1,,-1,17,25,40,,,
65,23,,,,,20,60,23,26,0,1,1,,-1,19,25,40,,,
66,23,,,,,20,60,23,26,0,1,0,,-1,19,25,40,,,
67,22,,,,,20,60,23,26,0,1,0,1,-1,19,25,40,,,
68,22,,,,,20,60,23,26,0,1,0,1,-1,19,25,40,,,
69,22,,,,,20,60,23,26,0,1,0,1,-1,19,25,40,,,
70,21,,,,,20,60,23,26,0,1,0,1,-1,19,25,40,,,
71,21,,,,,20,60,23,26,0,1,0,1,-1,19,25,40,,,
72,20,,,,,20,60,23,26,0,1,0,1,-1,19,25,40,,,
73,19,,,,,20,60,23,26,0,1,0,,-1,19,25,40,,,
74,19,,,,,20,60,23,26,0,1,0,,-1,20,25,40,,,
75,19,,,,,20,60,23,26,0,1,0,,-1,20,25,40,,,
76,19,,,,,20,60,23,24,0,1,0,,-1,20,23,40,,,
77,18,,,,,20,60,23,24,0,1,0,,0,20,23,40,,,
78,17,,,,,20,60,23,24,0,1,0,,0,20,23,40,,,
79,16,,,,,20,60,23,24,0,1,0,,0,20,23,40,,,
80,15,,,,,20,60,23,24,0,1,0,,0,20,23,40,,,
81,14,,,,,20,60,22,23,0,1,0,,0,20,22,40,,,
82,12,,,,,20,60,22,23,0,1,0,,0,20,22,40,,,
83,15,,,,,20,60,22,23,0,1,0,,0,20,22,40,,,
84,17,,,,,20,60,22,23,0,1,0,,1,19,22,40,,,
85,19,,,,,20,60,22,23,0,1,0,,1,19,22,40,,,
86,21,,,,,20,60,22,23,0,1,0,,1,19,22,40,,,
87,22,,,,,20,60,22,23,0,1,0,,1,19,22,40,,,
88,22,,,,,20,60,22,23,0,1,0,,1,19,22,40,,,
89,22,,,,,20,60,22,23,0,1,0,,0,19,22,40,,,
90,22,,,,,20,60,22,23,0,1,0,,0,19,22,40,,,
91,21,,,,,20,60,22,23,0,1,0,,0,19,22,40,,,
92,21,,,,,20,60,22,23,0,1,0,,0,19,22,40,,,
93,21,,,,,20,60,22,23,0,1,0,,0,19,22,40,,,
94,21,,,,,20,60,22,23,0,1,0,,0,18,22,40,,,
95,21,,,,,20,60,22,23,0,1,0,,0,18,22,40,,,
96,21,,,,,20,60,22,23,0,1,0,,0,18,22,40,,,
